machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"gst_inst_64bit",260000,260000,260000
f3,200_200_50,300,"gst_inst_128bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_8bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_16bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_32bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_64bit",0,0,0
f3,200_200_50,300,"rocache_gld_inst_128bit",0,0,0
f3,200_200_50,300,"prof_trigger_00",0,0,0
f3,200_200_50,300,"prof_trigger_01",0,0,0
f3,200_200_50,300,"prof_trigger_02",0,0,0
f3,200_200_50,300,"prof_trigger_03",0,0,0
f3,200_200_50,300,"prof_trigger_04",0,0,0
f3,200_200_50,300,"prof_trigger_05",0,0,0
f3,200_200_50,300,"prof_trigger_06",0,0,0
f3,200_200_50,300,"prof_trigger_07",0,0,0
f3,200_200_50,300,"atom_cas_count",0,0,0
f3,200_200_50,300,"warps_launched",91,91,91
f3,200_200_50,300,"threads_launched",2600,2600,2600
f3,200_200_50,300,"inst_executed",125034,125034,125034
f3,200_200_50,300,"inst_issued1",86685,86701,86690
f3,200_200_50,300,"inst_issued2",46137,46153,46143
f3,200_200_50,300,"thread_inst_executed",3572400,3572400,3572400
f3,200_200_50,300,"shared_load",0,0,0
f3,200_200_50,300,"shared_store",0,0,0
f3,200_200_50,300,"local_load",0,0,0
f3,200_200_50,300,"local_store",0,0,0
f3,200_200_50,300,"gld_request",9100,9100,9100
f3,200_200_50,300,"gst_request",9100,9100,9100
f3,200_200_50,300,"active_cycles",605460,615625,609752
f3,200_200_50,300,"active_warps",4238468,4354454,4269558
f3,200_200_50,300,"sm_cta_launched",13,13,13
f3,200_200_50,300,"not_predicated_off_thread_inst_executed",3567200,3567200,3567200
f3,200_200_50,300,"l1_local_load_hit",0,0,0
f3,200_200_50,300,"l1_local_load_miss",0,0,0
f3,200_200_50,300,"l1_local_store_hit",0,0,0
f3,200_200_50,300,"l1_local_store_miss",0,0,0
f3,200_200_50,300,"l1_global_load_hit",0,0,0
f3,200_200_50,300,"l1_global_load_miss",0,0,0
f3,200_200_50,300,"uncached_global_load_transaction",20800,20800,20800
f3,200_200_50,300,"global_store_transaction",20800,20800,20800
f3,200_200_50,300,"shared_load_replay",0,0,0
f3,200_200_50,300,"shared_store_replay",0,0,0
f3,200_200_50,300,"global_ld_mem_divergence_replays",11700,11700,11700
f3,200_200_50,300,"global_st_mem_divergence_replays",11700,11700,11700
f3,200_200_50,300,"local_load_transactions",0,0,0
f3,200_200_50,300,"local_store_transactions",0,0,0
f3,200_200_50,300,"l1_shared_load_transactions",0,0,0
f3,200_200_50,300,"l1_shared_store_transactions",0,0,0
f3,200_200_50,300,"__l1_global_load_transactions",22100,22100,22100
f3,200_200_50,300,"__l1_global_store_transactions",22100,22100,22100
f3,200_200_50,300,"atom_count",0,0,0
f3,200_200_50,300,"gred_count",0,0,0
f3,200_200_50,300,"tex0_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex1_cache_sector_queries",0,0,0
