machine,size,iteration,metric,invocations,min,max,mean,sum
supermicro,100_100_50,1,cuDeviceGetAttribute,364,164,235615,6742.181,2454154
supermicro,100_100_50,1,cudaSetupArgument,1280,296,1312,327.3836,419051
supermicro,100_100_50,1,cudaMallocHost,2,1777156,343632408,172704782,345409564
supermicro,100_100_50,1,cudaGetDeviceCount,5,511,5903,1618,8090
supermicro,100_100_50,1,cudaGetDeviceProperties,5,642295,733367,675550,3377750
supermicro,100_100_50,1,cudaMemGetInfo,5,214827,253015,226715,1133575
supermicro,100_100_50,1,cudaLaunch,80,14320,69550,17160.58,1372846
supermicro,100_100_50,1,cudaMalloc,15,262841,273561,268877.4,4033161
supermicro,100_100_50,1,cudaMemcpy,40,11219,66431,14931.52,597261
supermicro,100_100_50,1,CUDA memcpy HtoD,20,89954,270951,223508.2,4470165
supermicro,100_100_50,1,CUDA memcpy DtoH,20,47457,225893,165596.1,3311922
supermicro,100_100_50,1,cudaFree,22,174231,785477,247719.6,5449831
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_slices,20,15828,69550,21010.9,420218
supermicro,100_100_50,1,gpu_stencil37_hack2_cp_slices,20,22849,33697,26644.05,532881
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_rows,20,14320,21830,15627.6,312552
supermicro,100_100_50,1,gpu_stencil37_hack2_cp_rows,20,60322,73538,67869,1357380
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack2_cp_cols,20,14532,23770,15674.6,313492
supermicro,100_100_50,1,gpu_stencil37_hack2_cp_cols,20,122019,155588,126275.2,2525504
supermicro,100_100_50,1,cudaLaunch (gpu_stencil37_hack2,60,14320,69550,17437.7,1046262
supermicro,100_100_50,1,gpu_stencil37_hack2,60,22849,155588,73596.08,4415765
supermicro,100_100_50,1,total_CUDA memcpy HtoD,20,89954,270951,223508.2,4470165
supermicro,100_100_50,1,total_CUDA memcpy DtoH,20,47457,225893,165596.1,3311922
supermicro,100_100_50,1,total_kernel_execution_time,0, 0, 0, 0, 8831530
supermicro,100_100_50,1,total_CUDA_functions,0, 0, 0, 0, 12798627
supermicro,100_100_50,1,total_running_time,0, 0, 0, 0, 28968515
supermicro,100_100_50,2,cuDeviceGetAttribute,364,157,390161,10995.06,4002203
supermicro,100_100_50,2,cudaSetupArgument,2560,321,1180,353.7789,905674
supermicro,100_100_50,2,cudaMallocHost,2,1780752,340790721,171285736,342571473
supermicro,100_100_50,2,cudaGetDeviceCount,5,488,6203,1649.6,8248
supermicro,100_100_50,2,cudaGetDeviceProperties,5,650360,770407,683467.8,3417339
supermicro,100_100_50,2,cudaMemGetInfo,5,213628,259723,228285.8,1141429
supermicro,100_100_50,2,cudaLaunch,160,13419,68830,15553.79,2488606
supermicro,100_100_50,2,cudaMalloc,15,234747,257689,243286,3649290
supermicro,100_100_50,2,cudaMemcpy,80,9636,53179,12876.94,1030155
supermicro,100_100_50,2,CUDA memcpy HtoD,40,89858,270695,223122.4,8924896
supermicro,100_100_50,2,CUDA memcpy DtoH,40,46977,229830,166315.4,6652614
supermicro,100_100_50,2,cudaFree,22,172879,735690,232311.6,5110856
supermicro,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_slices,40,15191,68830,18387.7,735508
supermicro,100_100_50,2,gpu_stencil37_hack2_cp_slices,40,22464,35105,26530.28,1061211
supermicro,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_rows,40,13560,20014,14573.02,582921
supermicro,100_100_50,2,gpu_stencil37_hack2_cp_rows,40,55745,77154,68864.88,2754595
supermicro,100_100_50,2,cudaLaunch (gpu_stencil37_hack2_cp_cols,40,13419,17132,14274.95,570998
supermicro,100_100_50,2,gpu_stencil37_hack2_cp_cols,40,117635,150564,126228.7,5049148
supermicro,100_100_50,2,cudaLaunch (gpu_stencil37_hack2,120,13419,68830,15745.23,1889427
supermicro,100_100_50,2,gpu_stencil37_hack2,120,22464,150564,73874.62,8864954
supermicro,100_100_50,2,total_CUDA memcpy HtoD,40,89858,270695,223122.4,8924896
supermicro,100_100_50,2,total_CUDA memcpy DtoH,40,46977,229830,166315.4,6652614
supermicro,100_100_50,2,total_kernel_execution_time,0, 0, 0, 0, 17729908
supermicro,100_100_50,2,total_CUDA_functions,0, 0, 0, 0, 15612789
supermicro,100_100_50,2,total_running_time,0, 0, 0, 0, 36128859
supermicro,100_100_50,3,cuDeviceGetAttribute,364,156,377226,10386.15,3780560
supermicro,100_100_50,3,cudaSetupArgument,3840,296,106023,407.8396,1566104
supermicro,100_100_50,3,cudaMallocHost,2,1889971,346275876,174082924,348165847
supermicro,100_100_50,3,cudaGetDeviceCount,5,483,5067,1454.4,7272
supermicro,100_100_50,3,cudaGetDeviceProperties,5,641058,913997,708948.6,3544743
supermicro,100_100_50,3,cudaMemGetInfo,5,222475,515330,283612.2,1418061
supermicro,100_100_50,3,cudaLaunch,240,13860,121616,18434.86,4424367
supermicro,100_100_50,3,cudaMalloc,15,235213,461234,283799.4,4256991
supermicro,100_100_50,3,cudaMemcpy,120,9912,101486,14516.59,1741991
supermicro,100_100_50,3,CUDA memcpy HtoD,60,82274,278375,223747,13424817
supermicro,100_100_50,3,CUDA memcpy DtoH,60,46274,227974,165888,9953279
supermicro,100_100_50,3,cudaFree,22,172464,737848,232711.7,5119657
supermicro,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_slices,60,15865,121616,21328.22,1279693
supermicro,100_100_50,3,gpu_stencil37_hack2_cp_slices,60,21568,32897,25728.15,1543689
supermicro,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_rows,60,13860,45923,17362.45,1041747
supermicro,100_100_50,3,gpu_stencil37_hack2_cp_rows,60,55490,85922,68014,4080840
supermicro,100_100_50,3,cudaLaunch (gpu_stencil37_hack2_cp_cols,60,14161,49726,17484.5,1049070
supermicro,100_100_50,3,gpu_stencil37_hack2_cp_cols,60,115107,160164,125964.8,7557885
supermicro,100_100_50,3,cudaLaunch (gpu_stencil37_hack2,180,13860,121616,18725.06,3370510
supermicro,100_100_50,3,gpu_stencil37_hack2,180,21568,160164,73235.63,13182414
supermicro,100_100_50,3,total_CUDA memcpy HtoD,60,82274,278375,223747,13424817
supermicro,100_100_50,3,total_CUDA memcpy DtoH,60,46274,227974,165888,9953279
supermicro,100_100_50,3,total_kernel_execution_time,0, 0, 0, 0, 26364828
supermicro,100_100_50,3,total_CUDA_functions,0, 0, 0, 0, 18998098
supermicro,100_100_50,3,total_running_time,0, 0, 0, 0, 45339664
supermicro,100_100_50,4,cuDeviceGetAttribute,364,156,381410,10244.79,3729105
supermicro,100_100_50,4,cudaSetupArgument,5120,320,11988,356.5947,1825765
supermicro,100_100_50,4,cudaMallocHost,2,1775785,348090048,174932916,349865833
supermicro,100_100_50,4,cudaGetDeviceCount,5,518,11800,2811.8,14059
supermicro,100_100_50,4,cudaGetDeviceProperties,5,650311,1319728,796206,3981030
supermicro,100_100_50,4,cudaMemGetInfo,5,213208,543967,284793.6,1423968
supermicro,100_100_50,4,cudaLaunch,320,13419,66156,15099.87,4831957
supermicro,100_100_50,4,cudaMalloc,15,238115,492010,268134.6,4022019
supermicro,100_100_50,4,cudaMemcpy,160,9526,53855,12137.24,1941959
supermicro,100_100_50,4,CUDA memcpy HtoD,80,67522,271110,222717.6,17817405
supermicro,100_100_50,4,CUDA memcpy DtoH,80,46497,230086,165494.2,13239537
supermicro,100_100_50,4,cudaFree,22,173583,745226,232723.9,5119925
supermicro,100_100_50,4,cudaLaunch (gpu_stencil37_hack2_cp_slices,80,15024,66156,17129.95,1370396
supermicro,100_100_50,4,gpu_stencil37_hack2_cp_slices,80,21697,36033,25935.88,2074870
supermicro,100_100_50,4,cudaLaunch (gpu_stencil37_hack2_cp_rows,80,13564,19483,14356.95,1148556
supermicro,100_100_50,4,gpu_stencil37_hack2_cp_rows,80,55105,78818,67829.36,5426349
supermicro,100_100_50,4,cudaLaunch (gpu_stencil37_hack2_cp_cols,80,13419,25938,14148.44,1131875
supermicro,100_100_50,4,gpu_stencil37_hack2_cp_cols,80,117571,152772,127344.8,10187585
supermicro,100_100_50,4,cudaLaunch (gpu_stencil37_hack2,240,13419,66156,15211.78,3650827
supermicro,100_100_50,4,gpu_stencil37_hack2,240,21697,152772,73703.35,17688804
supermicro,100_100_50,4,total_CUDA memcpy HtoD,80,67522,271110,222717.6,17817405
supermicro,100_100_50,4,total_CUDA memcpy DtoH,80,46497,230086,165494.2,13239537
supermicro,100_100_50,4,total_kernel_execution_time,0, 0, 0, 0, 35377608
supermicro,100_100_50,4,total_CUDA_functions,0, 0, 0, 0, 19827903
supermicro,100_100_50,4,total_running_time,0, 0, 0, 0, 52176789
supermicro,100_100_50,5,cuDeviceGetAttribute,364,157,325523,9533.044,3470028
supermicro,100_100_50,5,cudaSetupArgument,6400,293,10936,331.7281,2123060
supermicro,100_100_50,5,cudaMallocHost,2,1782793,347672790,174727792,349455583
supermicro,100_100_50,5,cudaGetDeviceCount,5,552,5085,1778,8890
supermicro,100_100_50,5,cudaGetDeviceProperties,5,647455,755380,674535.2,3372676
supermicro,100_100_50,5,cudaMemGetInfo,5,220859,305780,251681.6,1258408
supermicro,100_100_50,5,cudaLaunch,400,13260,65346,14980.46,5992185
supermicro,100_100_50,5,cudaMalloc,15,233627,318555,247040.1,3705602
supermicro,100_100_50,5,cudaMemcpy,200,9556,53458,12750.19,2550039
supermicro,100_100_50,5,CUDA memcpy HtoD,100,56129,274471,222340.9,22234092
supermicro,100_100_50,5,CUDA memcpy DtoH,100,46657,229702,166194.9,16619494
supermicro,100_100_50,5,cudaFree,22,172019,752987,233509.5,5137210
supermicro,100_100_50,5,cudaLaunch (gpu_stencil37_hack2_cp_slices,100,14945,65346,16687.02,1668702
supermicro,100_100_50,5,gpu_stencil37_hack2_cp_slices,100,21312,36321,26444.82,2644482
supermicro,100_100_50,5,cudaLaunch (gpu_stencil37_hack2_cp_rows,100,13465,20137,14301.89,1430189
supermicro,100_100_50,5,gpu_stencil37_hack2_cp_rows,100,55745,77602,68026.07,6802607
supermicro,100_100_50,5,cudaLaunch (gpu_stencil37_hack2_cp_cols,100,13260,34128,14267.59,1426759
supermicro,100_100_50,5,gpu_stencil37_hack2_cp_cols,100,118467,155588,126426.2,12642625
supermicro,100_100_50,5,cudaLaunch (gpu_stencil37_hack2,300,13260,65346,15085.5,4525650
supermicro,100_100_50,5,gpu_stencil37_hack2,300,21312,155588,73632.38,22089714
supermicro,100_100_50,5,total_CUDA memcpy HtoD,100,56129,274471,222340.9,22234092
supermicro,100_100_50,5,total_CUDA memcpy DtoH,100,46657,229702,166194.9,16619494
supermicro,100_100_50,5,total_kernel_execution_time,0, 0, 0, 0, 44179428
supermicro,100_100_50,5,total_CUDA_functions,0, 0, 0, 0, 19930849
supermicro,100_100_50,5,total_running_time,0, 0, 0, 0, 59867325
supermicro,100_100_50,6,cuDeviceGetAttribute,364,158,229625,6695.78,2437264
supermicro,100_100_50,6,cudaSetupArgument,7680,297,9249,328.213,2520676
supermicro,100_100_50,6,cudaMallocHost,2,1933453,341492012,171712732,343425465
supermicro,100_100_50,6,cudaGetDeviceCount,5,595,10760,2656,13280
supermicro,100_100_50,6,cudaGetDeviceProperties,5,647983,1124649,746558.2,3732791
supermicro,100_100_50,6,cudaMemGetInfo,5,214862,453864,263461.4,1317307
supermicro,100_100_50,6,cudaLaunch,480,14080,71463,15810.73,7589151
supermicro,100_100_50,6,cudaMalloc,15,235133,412981,272427.1,4086406
supermicro,100_100_50,6,cudaMemcpy,240,10108,154337,13310.01,3194402
supermicro,100_100_50,6,CUDA memcpy HtoD,120,74786,271751,223065.4,26767846
supermicro,100_100_50,6,CUDA memcpy DtoH,120,47681,236422,166530.3,19983640
supermicro,100_100_50,6,cudaFree,22,174485,1032320,261355.7,5749826
supermicro,100_100_50,6,cudaLaunch (gpu_stencil37_hack2_cp_slices,120,15528,71463,17518.38,2102206
supermicro,100_100_50,6,gpu_stencil37_hack2_cp_slices,120,21441,35136,25882.58,3105910
supermicro,100_100_50,6,cudaLaunch (gpu_stencil37_hack2_cp_rows,120,14100,21618,14974.95,1796994
supermicro,100_100_50,6,gpu_stencil37_hack2_cp_rows,120,54689,77506,67745.18,8129421
supermicro,100_100_50,6,cudaLaunch (gpu_stencil37_hack2_cp_cols,120,14080,36307,15110.91,1813309
supermicro,100_100_50,6,gpu_stencil37_hack2_cp_cols,120,118435,153636,127071.5,15248577
supermicro,100_100_50,6,cudaLaunch (gpu_stencil37_hack2,360,14080,71463,15868.08,5712509
supermicro,100_100_50,6,gpu_stencil37_hack2,360,21441,153636,73566.41,26483908
supermicro,100_100_50,6,total_CUDA memcpy HtoD,120,74786,271751,223065.4,26767846
supermicro,100_100_50,6,total_CUDA memcpy DtoH,120,47681,236422,166530.3,19983640
supermicro,100_100_50,6,total_kernel_execution_time,0, 0, 0, 0, 52967816
supermicro,100_100_50,6,total_CUDA_functions,0, 0, 0, 0, 21696875
supermicro,100_100_50,6,total_running_time,0, 0, 0, 0, 73617080
supermicro,100_100_50,7,cuDeviceGetAttribute,364,157,230160,6815.775,2480942
supermicro,100_100_50,7,cudaSetupArgument,8960,296,16896,341.6946,3061584
supermicro,100_100_50,7,cudaMallocHost,2,1781800,346991380,174386590,348773180
supermicro,100_100_50,7,cudaGetDeviceCount,5,493,9172,2361.4,11807
supermicro,100_100_50,7,cudaGetDeviceProperties,5,669363,992301,743243.4,3716217
supermicro,100_100_50,7,cudaMemGetInfo,5,213747,388960,257308,1286540
supermicro,100_100_50,7,cudaLaunch,560,13842,101038,16479.39,9228459
supermicro,100_100_50,7,cudaMalloc,15,237412,368118,266375.7,3995635
supermicro,100_100_50,7,cudaMemcpy,280,10169,78392,13190.58,3693361
supermicro,100_100_50,7,CUDA memcpy HtoD,140,56002,272167,218782.6,30629571
supermicro,100_100_50,7,CUDA memcpy DtoH,140,47074,235686,162503.6,22750499
supermicro,100_100_50,7,cudaFree,22,199260,755239,276468,6082297
supermicro,100_100_50,7,cudaLaunch (gpu_stencil37_hack2_cp_slices,140,15661,101038,18604.94,2604691
supermicro,100_100_50,7,gpu_stencil37_hack2_cp_slices,140,21377,37249,27122.09,3797092
supermicro,100_100_50,7,cudaLaunch (gpu_stencil37_hack2_cp_rows,140,14091,35946,15756.05,2205847
supermicro,100_100_50,7,gpu_stencil37_hack2_cp_rows,140,57346,88482,69602.94,9744411
