#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,6.84422167363075,1.0427150181534,1.20181061887682,5.38075288143942
3000,1,9.16296789317039,1.14397948347057,1.56015077219931,7.96431370267795
5000,1,9.08626623171416,1.08205255264202,1.55721935483292,7.92918768473118
7000,1,9.02748125393694,1.09833941810068,1.52730810072077,7.80472677682724
9000,1,7.95029310481521,1.01552702318891,1.36647631905407,6.88958600518836
11000,1,8.53241001219675,1.03968543217657,1.44871126667602,7.3884967161644
13000,1,9.11829134855926,1.1316342106149,1.53493560762358,7.90928851226499
15000,1,9.90497177617645,1.18514848944647,1.66719564520617,8.60434003673964
17000,1,1.54461109687965,1.01165532213953,1.61060636886227,1.1698265246542
19000,1,1.52159217251835,1.06822368480461,1.59226002373454,1.30040909754095
21000,1,1.60298486212958,1.05120916488275,1.631993716565,1.29556508861164
23000,1,1.45369703059814,1.01770383408199,1.65169485267358,1.22309337322834
25000,1,1.6489442903729,0.976707591862031,1.56094168441648,1.15401515903867
